Entity,Code,ALC
Somaliland,ABV,0
Afghanistan,AFG,20
Angola,AGO,640
Albania,ALB,750
Andorra,AND,1130
United Arab Emirates,ARE,380
Argentina,ARG,980
Armenia,ARM,550
Antarctica,ATA,0
French and Southern Arctic Lands,ATF,0
Antigua and Barbuda,ATG,700
Australia,AUS,1060
Austria,AUT,1160
Azerbaijan,AZE,80
Burundi,BDI,750
Belgium,BEL,1210
Benin,BEN,300
Burkina Faso,BFA,820
Bangladesh,BGD,0
Bulgaria,BGR,1270
Bahrain,BHR,190
Bahamas,BHS,440
Bosnia and Herzegovina,BIH,640
Belarus,BLR,1120
Belize,BLZ,670
Bolivia,BOL,480
Brazil,BRA,780
Barbados,BRB,960
Brunei,BRN,40
Bhutan,BTN,60
Botswana,BWA,840
Central African Republic,CAF,330
Canada,CAN,890
Switzerland,CHE,1150
Chile,CHL,930
China,CHN,720
Cote d'Ivoire,CIV,840
Cameroon,CMR,890
Democratic Republic of Congo,COD,260
Congo,COG,780
Colombia,COL,580
Comoros,COM,90
Cape Verde,CPV,570
Costa Rica,CRI,480
Cuba,CUB,610
Cyprus,CYP,1080
Czech Republic,CZE,1440
Germany,DEU,1340
Djibouti,DJI,50
Dominica,DMA,820
Denmark,DNK,1040
Dominican Republic,DOM,690
Algeria,DZA,90
Ecuador,ECU,440
Egypt,EGY,40
Eritrea,ERI,130
Western Sahara,ESH,0
Spain,ESP,1000
Estonia,EST,1160
Ethiopia,ETH,280
Finland,FIN,1070
Fiji,FJI,300
Falkland Islands,FLK,0
France,FRA,1260
Micronesia (country),FSM,250
Gabon,GAB,1150
United Kingdom,GBR,1140
Georgia,GEO,980
Ghana,GHA,270
Guinea,GIN,130
Gambia,GMB,380
Guinea-Bissau,GNB,480
Equatorial Guinea,GNQ,1130
Greece,GRC,1040
Grenada,GRD,930
Greenland,GRL,0
Guatemala,GTM,240
Guyana,GUY,630
Honduras,HND,400
Croatia,HRV,890
Haiti,HTI,580
Hungary,HUN,1140
Indonesia,IDN,80
India,IND,570
Ireland,IRL,1300
Iran,IRN,100
Iraq,IRQ,40
Iceland,ISL,910
Israel,ISR,380
Italy,ITA,750
Jamaica,JAM,420
Jordan,JOR,70
Japan,JPN,800
Kazakhstan,KAZ,770
Kenya,KEN,340
Kyrgyzstan,KGZ,620
Cambodia,KHM,670
Kiribati,KIR,40
Saint Kitts and Nevis,KNA,940
South Korea,KOR,1020
Kuwait,KWT,0
Laos,LAO,1040
Lebanon,LBN,150
Liberia,LBR,580
Libya,LBY,0
Saint Lucia,LCA,990
Sri Lanka,LKA,430
Lesotho,LSO,500
Lithuania,LTU,1500
Luxembourg,LUX,1300
Latvia,LVA,1290
Morocco,MAR,60
Moldova,MDA,1520
Madagascar,MDG,190
Maldives,MDV,270
Mexico,MEX,650
Macedonia,MKD,810
Mali,MLI,130
Malta,MLT,810
Myanmar,MMR,480
Montenegro,MNE,800
Mongolia,MNG,740
Mozambique,MOZ,240
Mauritania,MRT,0
Mauritius,MUS,360
Malawi,MWI,370
Malaysia,MYS,90
Namibia,NAM,980
New Caledonia,NCL,0
Niger,NER,50
Nigeria,NGA,1340
Nicaragua,NIC,520
Netherlands,NLD,870
Norway,NOR,750
Nepal,NPL,200
Nauru,NRU,600
New Zealand,NZL,1070
Oman,OMN,80
Kosovo,OSA,0
Pakistan,PAK,30
Panama,PAN,790
Peru,PER,630
Philippines,PHL,660
Papua New Guinea,PNG,120
Poland,POL,1160
Puerto Rico,PRI,0
North Korea,PRK,390
Portugal,PRT,1230
Paraguay,PRY,720
West Bank,PSE,0
Qatar,QAT,200
Romania,ROU,1260
Russia,RUS,1170
Rwanda,RWA,900
Saudi Arabia,SAU,20
Sudan,SDN,50
South Sudan,SDS,0
Senegal,SEN,70
Singapore,SGP,200
Solomon Islands,SLB,140
Sierra Leone,SLE,570
El Salvador,SLV,370
Somalia,SOM,0
Serbia,SRB,1110
Sao Tome and Principe,STP,680
Suriname,SUR,510
Slovakia,SVK,1150
Slovenia,SVN,1260
Sweden,SWE,920
Swaziland,SWZ,990
Seychelles,SYC,1200
Syria,SYR,0
Chad,TCD,150
Togo,TGO,310
Thailand,THA,830
Tajikistan,TJK,330
Turkmenistan,TKM,540
Timor,TLS,210
Tonga,TON,150
Trinidad and Tobago,TTO,840
Tunisia,TUN,190
Turkey,TUR,200
Tuvalu,TUV,170
Taiwan,TWN,0
Tanzania,TZA,940
Uganda,UGA,950
Ukraine,UKR,860
Uruguay,URY,1080
United States,USA,980
Uzbekistan,UZB,270
Saint Vincent and the Grenadines,VCT,820
Venezuela,VEN,560
Vietnam,VNM,830
Vanuatu,VUT,100
Samoa,WSM,250
Yemen,YEM,10
South Africa,ZAF,930
Zambia,ZMB,480
Zimbabwe,ZWE,480
